"yearID","teamID","lgID","playerID","G_all","GS","G_batting","G_defense","G_p","G_c","G_1b","G_2b","G_3b","G_ss","G_lf","G_cf","G_rf","G_of","G_dh","G_ph","G_pr","mainPos"
2020,"ATL","NL","daytogr01",18,0,0,18,18,0,0,0,0,0,0,0,0,0,0,0,0,"P"
2020,"SLN","NL","deanau01",3,2,3,3,0,0,1,0,0,0,2,0,1,2,0,1,0,"LF"
2020,"NYN","NL","degroja01",12,12,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,"P"
2020,"HOU","AL","dejonch01",3,2,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,"P"
2020,"SLN","NL","dejonpa01",45,45,45,45,0,0,0,0,0,45,0,0,0,0,0,0,0,"SS"
2020,"CIN","NL","deleojo03",5,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,"P"
2020,"CHA","AL","delmoni01",6,6,6,6,0,0,0,0,0,0,3,0,4,6,0,0,0,"RF"
2020,"PIT","NL","delpomi01",5,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,"P"
2020,"DET","AL","demertr01",18,8,18,15,1,0,0,0,0,0,2,0,12,14,3,4,5,"RF"
2020,"CHN","NL","dermoma01",1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"P"
2020,"CIN","NL","desclan01",9,7,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,"P"
2020,"CLE","AL","deshide02",37,32,37,35,0,0,0,0,0,0,0,35,0,35,1,1,3,"CF"
2020,"CHA","AL","detwiro01",16,0,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,"P"
2020,"HOU","AL","devench02",4,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,"P"
2020,"BOS","AL","deverra01",57,55,57,57,0,0,0,0,57,0,0,0,0,0,0,2,0,"3B"
2020,"HOU","AL","diazal02",17,16,17,14,0,0,2,10,3,0,1,0,0,1,2,1,0,"2B"
2020,"NYN","NL","diazed04",26,0,0,26,26,0,0,0,0,0,0,0,0,0,0,0,0,"P"
2020,"COL","NL","diazel01",26,15,26,24,0,24,0,0,0,0,0,0,0,0,2,7,0,"C"
2020,"MIA","NL","diazis01",7,6,7,7,0,0,0,7,0,0,0,0,0,0,0,0,0,"2B"
2020,"COL","NL","diazja01",24,0,0,24,24,0,0,0,0,0,0,0,0,0,0,0,0,"P"
2020,"MIA","NL","diazle01",14,11,14,11,0,0,11,0,0,0,0,0,0,0,1,2,0,"1B"
2020,"TBA","AL","diazya01",34,30,34,26,0,0,2,0,25,0,0,0,0,0,7,4,0,"3B"
2020,"SFN","NL","dickeal01",52,38,52,46,0,0,0,0,0,0,41,0,5,46,3,14,0,"LF"
2020,"MIA","NL","dickeco01",52,51,52,46,0,0,0,0,0,0,46,0,1,46,6,1,0,"LF"
2020,"COL","NL","diehlph01",6,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,"P"
2020,"OAK","AL","diekmja01",21,0,0,21,21,0,0,0,0,0,0,0,0,0,0,0,0,"P"
2020,"TEX","AL","dietrde01",25,18,25,12,0,0,6,3,3,0,0,0,0,0,9,6,0,"DH"
2020,"WAS","NL","difowi01",12,2,12,10,0,0,0,4,2,4,0,0,0,0,1,3,1,"2B"
2020,"DET","AL","dixonbr01",5,3,5,5,0,0,4,1,0,0,2,0,0,2,0,1,1,"1B"
2020,"MIN","AL","dobnara01",10,10,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,"P"
2020,"TOR","AL","dolisra01",24,0,0,24,24,0,0,0,0,0,0,0,0,0,0,0,0,"P"
2020,"MIN","AL","donaljo02",28,25,28,26,0,0,0,0,26,0,0,0,0,0,0,3,0,"3B"
2020,"WAS","NL","doolise01",11,0,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,"P"
2020,"COL","NL","doyleto01",3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,"P"
2020,"NYN","NL","doziebr01",7,4,7,5,0,0,0,5,0,0,0,0,0,0,1,1,0,"2B"
2020,"KCA","AL","doziehu01",44,44,44,44,0,0,28,0,1,0,2,0,18,20,0,0,0,"1B"
2020,"TBA","AL","drakeol01",11,0,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,"P"
2020,"TOR","AL","drurybr01",21,14,21,21,0,0,0,4,16,2,0,0,0,0,0,1,0,"3B"
2020,"SFN","NL","dubonma01",54,46,54,54,0,0,0,8,0,8,0,44,0,44,0,1,0,"CF"
2020,"MIN","AL","duffety01",22,0,0,22,22,0,0,0,0,0,0,0,0,0,0,0,0,"P"
