year.key,league.key,team.key,franchise.key,team.key.bbref,team.key.lahman45,team.key.retro,name
1897,NL,CIN,CIN,CIN,CIN,CIN,Cincinnati Reds
1897,NL,CL4,CLV,CLV,CL4,CL4,Cleveland Spiders
1897,NL,LS3,LOU,LOU,LS3,LS3,Louisville Colonels
1897,NL,NY1,SFG,NYG,NY1,NY1,New York Giants
1897,NL,PHI,PHI,PHI,PHI,PHI,Philadelphia Phillies
1897,NL,PIT,PIT,PIT,PIT,PIT,Pittsburgh Pirates
1897,NL,SLN,STL,STL,SLN,SLN,St. Louis Browns
1897,NL,WAS,WAS,WHS,WSN,WSN,Washington Senators
1898,NL,BLN,BLO,BLN,BLN,BLN,Baltimore Orioles
1898,NL,BRO,LAD,BRO,BRO,BRO,Brooklyn Bridegrooms
1898,NL,BSN,ATL,BSN,BSN,BSN,Boston Beaneaters
1898,NL,CHN,CHC,CHC,CHN,CHN,Chicago Orphans
1898,NL,CIN,CIN,CIN,CIN,CIN,Cincinnati Reds
1898,NL,CL4,CLV,CLV,CL4,CL4,Cleveland Spiders
1898,NL,LS3,LOU,LOU,LS3,LS3,Louisville Colonels
1898,NL,NY1,SFG,NYG,NY1,NY1,New York Giants
1898,NL,PHI,PHI,PHI,PHI,PHI,Philadelphia Phillies
1898,NL,PIT,PIT,PIT,PIT,PIT,Pittsburgh Pirates
1898,NL,SLN,STL,STL,SLN,SLN,St. Louis Browns
1898,NL,WAS,WAS,WHS,WSN,WSN,Washington Senators
1899,NL,BLN,BLO,BLN,BLN,BLN,Baltimore Orioles
1899,NL,BRO,LAD,BRO,BRO,BRO,Brooklyn Superbas
1899,NL,BSN,ATL,BSN,BSN,BSN,Boston Beaneaters
1899,NL,CHN,CHC,CHC,CHN,CHN,Chicago Orphans
1899,NL,CIN,CIN,CIN,CIN,CIN,Cincinnati Reds
1899,NL,CL4,CLV,CLV,CL4,CL4,Cleveland Spiders
1899,NL,LS3,LOU,LOU,LS3,LS3,Louisville Colonels
1899,NL,NY1,SFG,NYG,NY1,NY1,New York Giants
1899,NL,PHI,PHI,PHI,PHI,PHI,Philadelphia Phillies
1899,NL,PIT,PIT,PIT,PIT,PIT,Pittsburgh Pirates
1899,NL,SLN,STL,STL,SLN,SLN,St. Louis Perfectos
1899,NL,WAS,WAS,WHS,WSN,WSN,Washington Senators
1900,NL,BRO,LAD,BRO,BRO,BRO,Brooklyn Superbas
1900,NL,BSN,ATL,BSN,BSN,BSN,Boston Beaneaters
1900,NL,CHN,CHC,CHC,CHN,CHN,Chicago Orphans
1900,NL,CIN,CIN,CIN,CIN,CIN,Cincinnati Reds
1900,NL,NY1,SFG,NYG,NY1,NY1,New York Giants
1900,NL,PHI,PHI,PHI,PHI,PHI,Philadelphia Phillies
1900,NL,PIT,PIT,PIT,PIT,PIT,Pittsburgh Pirates
1900,NL,SLN,STL,STL,SLN,SLN,St. Louis Cardinals
1901,AL,BLA,NYY,BLA,BLA,BLA,Baltimore Orioles
1901,AL,BOS,BOS,BOS,BOS,BOS,Boston Americans
